base_depth,open_lifts,open_trails,resort_name,snowfall_24h,total_lifts,total_trails
26.0,8.0,41.0,"Bromont, montagne d’expériences",0.0,11.0,110.0
14.0,3.0,10.0,Camp Fortune,0.0,8.0,23.0
18.0,7.0,23.0,Le Massif de Charlevoix,0.8,8.0,53.0
57.5,2.0,5.0,Massif du Sud,0.0,2.0,35.0
9.0,5.0,22.0,Mont Blanc,0.0,7.0,43.0
24.0,5.0,8.0,Mont Cascades,0.0,6.0,21.0
11.0,5.0,22.0,Mont Orford,0.0,7.0,43.0
18.0,7.0,18.0,Mont Saint-Sauveur,0.0,8.0,42.0
,7.0,33.0,Mont Sainte Anne,0.0,9.0,71.0
6.0,3.0,12.0,Mont Ste-Marie,0.0,4.0,20.0
17.0,6.0,29.0,Mont Sutton,0.4,10.0,60.0
22.0,5.0,27.0,Owl's Head,0.0,6.0,50.0
18.0,5.0,21.0,Stoneham,0.0,6.0,43.0
,14.0,62.0,Tremblant,0.0,14.0,102.0
4.0,4.0,8.0,Vorlage,0.0,4.0,20.0
11.0,1.0,4.0,Antoine Mountain,0.0,1.0,15.0
28.0,11.0,42.0,Blue Mountain,0.0,11.0,43.0
10.0,2.0,5.0,Calabogie Peaks,0.0,3.0,25.0
20.0,4.0,11.0,Glen Eden,0.0,7.0,13.0
26.0,3.0,5.0,Hidden Valley,0.0,4.0,15.0
26.0,6.0,20.0,Horseshoe Resort,0.0,6.0,26.0
18.0,3.0,14.0,Loch Lomond,0.0,3.0,17.0
20.0,4.0,10.0,Mt Pakenham,0.4,4.0,10.0
22.0,12.0,34.0,Mt St Louis-Moonstone,0.0,12.0,35.0
20.5,5.0,23.0,Searchmont Resort,0.0,5.0,26.0
32.0,12.0,105.0,Banff Sunshine,1.0,12.0,145.0
32.0,5.0,85.0,Castle Mountain,1.0,6.0,94.0
33.0,12.0,114.0,Lake Louise,0.8,12.0,164.0
24.0,7.0,51.0,Marmot Basin,0.0,7.0,91.0
15.0,5.0,16.0,Mt. Norquay,0.0,6.0,60.0
16.0,4.0,33.0,Nakiska Ski Area,0.0,6.0,75.0
19.0,6.0,6.0,WinSport,0.0,7.0,6.0
50.0,6.0,87.0,Grand Targhee Resort,4.0,6.0,95.0
11.0,2.0,4.0,Hogadon Basin,0.0,2.0,29.0
36.5,13.0,76.0,Jackson Hole,7.0,13.0,131.0
13.0,2.0,10.0,Meadowlark Ski Lodge,0.0,2.0,14.0
20.5,5.0,36.0,Snow King Mountain,4.0,8.0,41.0
21.0,5.0,23.0,Snowy Range Ski & Recreation Area,4.0,5.0,33.0
26.0,,29.0,White Pine Ski Area,4.0,,29.0
45.0,4.0,65.0,Apex Mountain,2.0,4.0,85.0
51.0,3.0,35.0,Baldy Mountain,7.0,4.0,40.0
30.7,16.0,101.0,Big White,6.0,16.0,119.0
62.0,4.0,10.0,Cypress Mountain,9.0,6.0,61.0
81.0,9.0,142.0,Fernie Alpine,7.0,10.0,142.0
33.5,3.0,6.0,Grouse Mountain,2.0,6.0,34.0
44.0,5.0,39.0,Hudson Bay Mountain,0.0,5.0,41.0
51.5,4.0,129.0,Kicking Horse,0.8,5.0,129.0
14.0,5.0,72.0,Kimberley,0.8,5.0,80.0
37.5,4.0,31.0,Manning Park Resort,1.0,4.0,34.0
32.5,2.0,7.0,Mt Seymour,5.0,5.0,41.0
102.0,10.0,69.0,Mt Washington Alpine Resort,6.0,10.0,84.0
23.0,10.0,126.0,Panorama Mountain,0.4,11.0,144.0
67.5,3.0,38.0,Powder King,0.0,3.0,38.0
69.0,8.0,,Red Mountain,5.0,8.0,119.0
71.0,4.0,35.0,Revelstoke,2.0,5.0,42.0
67.0,3.0,,Sasquatch Mountain Resort,9.0,4.0,35.0
54.0,11.0,129.0,SilverStar,3.0,11.0,133.0
35.5,13.0,137.0,Sun Peaks,4.0,13.0,137.0
71.0,25.0,234.0,Whistler Blackcomb,3.0,27.0,234.0
67.0,5.0,,Whitewater Ski Resort,2.0,5.0,105.0
,,,Mount Timothy Recreation Resort,,,
14.0,9.0,21.0,Alpine Valley Resort,0.0,13.0,21.0
36.0,10.0,43.0,Cascade Mountain,0.0,11.0,48.0
15.0,2.0,21.0,Christie Mountain,0.0,6.0,33.0
30.0,4.0,19.0,Devils Head,0.0,9.0,30.0
20.0,5.0,19.0,Grand Geneva,0.0,6.0,20.0
36.0,5.0,40.0,Granite Peak Ski Area,0.0,7.0,61.0
26.0,9.0,16.0,Little Switzerland,0.0,9.0,16.0
15.0,3.0,19.0,Mount La Crosse,0.0,4.0,19.0
28.0,7.0,12.0,Nordic Mountain,0.0,7.0,12.0
15.0,3.0,10.0,Sunburst,0.0,10.0,11.0
21.0,8.0,18.0,Trollhaugen,0.0,9.0,30.0
20.0,5.0,15.0,Tyrol Basin,0.0,6.0,24.0
18.0,2.0,5.0,Whitecap Mountain,0.0,5.0,43.0
12.0,3.0,3.0,Wilmot Mountain,0.0,11.0,21.0
,,,Bruce Mound,,,
,,,Christmas Mountain,,,
24.0,3.0,8.0,Bryce Resort,0.0,4.0,8.0
25.0,7.0,20.0,Massanutten,0.0,7.0,23.0
30.0,4.0,16.0,Wintergreen Resort,0.0,5.0,27.0
25.0,5.0,46.0,Bolton Valley,0.0,6.0,71.0
21.0,7.0,31.0,Bromley Mountain,0.0,8.0,47.0
21.5,3.0,32.0,Burke Mountain,0.0,4.0,55.0
27.0,9.0,73.0,Jay Peak,0.0,9.0,81.0
15.0,15.0,138.0,Killington Resort,0.0,22.0,155.0
10.0,5.0,60.0,Mad River Glen,0.0,5.0,60.0
14.5,4.0,21.0,Magic Mountain,0.0,5.0,50.0
24.0,18.0,46.0,Mount Snow,0.0,19.0,86.0
20.0,20.0,71.0,Okemo Mountain Resort,0.0,21.0,126.0
15.0,5.0,51.0,Pico Mountain,0.0,7.0,61.0
12.0,2.0,19.0,Saskadena Six,0.0,3.0,24.0
25.0,5.0,44.0,Smugglers' Notch Resort,0.0,8.0,78.0
27.0,11.0,92.0,Stowe Mountain,0.0,12.0,126.0
26.0,4.0,7.0,Canaan Valley Resort,0.0,6.0,47.0
45.0,11.0,33.0,Snowshoe Mountain,0.0,12.0,61.0
56.0,2.0,20.0,Timberline Mountain,0.0,4.0,20.0
27.0,9.0,22.0,Winterplace Ski Resort,0.0,11.0,28.0
49.5,6.0,90.0,49 Degrees North,6.0,7.0,90.0
82.5,5.0,14.0,Alpental,8.0,6.0,24.0
45.5,,,Bluewood,4.0,,26.0
66.0,11.0,60.0,Crystal Mountain,2.0,11.0,85.0
45.0,7.0,55.0,Mission Ridge,3.0,7.0,55.0
106.0,8.0,38.0,Mt. Baker,10.0,10.0,38.0
46.0,6.0,49.0,Mt. Spokane Ski and Snowboard Park,5.0,8.0,55.0
72.0,12.0,52.0,Stevens Pass Resort,6.0,12.0,52.0
47.0,12.0,42.0,The Summit at Snoqualmie,3.0,20.0,65.0
74.5,8.0,47.0,White Pass,6.0,8.0,47.0
18.0,11.0,87.0,Stratton Mountain,0.0,11.0,99.0
27.5,11.0,82.0,Sugarbush,0.0,16.0,111.0
51.0,4.0,47.0,Alta Ski Area,15.0,5.0,118.0
31.0,6.0,46.0,Beaver Mountain,6.0,6.0,48.0
24.0,6.0,47.0,Brian Head Resort,0.0,8.0,72.0
46.0,8.0,33.0,Brighton Resort,10.0,8.0,77.0
35.0,19.0,65.0,Deer Valley Resort,9.0,24.0,103.0
25.0,4.0,,Eagle Point,0.0,5.0,40.0
21.0,4.0,18.0,Nordic Valley Resort,5.0,5.0,40.0
36.0,25.0,53.0,Park City,7.0,44.0,341.0
24.0,3.0,50.0,Powder Mountain,9.0,10.0,154.0
47.0,9.0,51.0,Snowbasin,2.0,13.0,114.0
41.0,9.0,51.0,Snowbird,1.0,14.0,149.0
42.0,4.0,38.0,Solitude Mountain Resort,8.0,8.0,86.0
34.0,9.0,58.0,Sundance,8.0,9.0,72.0
27.5,3.0,5.0,Ober Mountain Ski Area & Adventure Park,0.0,4.0,10.0
16.0,3.0,5.0,Terry Peak Ski Area,0.0,5.0,30.0
28.0,5.0,21.0,Bear Creek Mountain Resort,0.0,6.0,23.0
12.0,6.0,13.0,Big Boulder,0.0,8.0,16.0
12.0,2.0,6.0,Blue Knob,0.0,6.0,34.0
42.0,12.0,34.0,Blue Mountain Resort,0.0,16.0,40.0
42.0,3.0,15.0,Camelback Mountain Resort,0.0,16.0,39.0
40.0,6.0,21.0,Elk Mountain Ski Resort,0.0,7.0,27.0
30.0,6.0,16.0,Hidden Valley Resort,0.0,8.0,30.0
12.0,6.0,10.0,Jack Frost,0.0,9.0,20.0
15.0,5.0,14.0,Liberty,0.0,7.0,21.0
20.0,6.0,13.0,Montage Mountain,0.0,7.0,26.0
24.0,2.0,3.0,Mount Pleasant of Edinboro,0.0,2.0,10.0
12.0,9.0,16.0,Roundtop Mountain Resort,0.0,9.0,19.0
18.0,11.0,19.0,Seven Springs,0.0,14.0,42.0
29.5,6.0,19.0,Shawnee Mountain Ski Area,0.0,9.0,23.0
28.0,7.0,16.0,Ski Big Bear,0.0,7.0,18.0
18.0,3.0,6.0,Ski Sawmill,0.0,4.0,13.0
17.5,1.0,4.0,Tussey Mountain,0.0,3.0,8.0
24.0,7.0,16.0,Whitetail Resort,0.0,7.0,23.0
,,,Spring Mountain Ski Area,0.0,,
19.0,8.0,54.0,Belleayre,0.0,9.0,62.0
20.0,5.0,23.0,Bristol Mountain,0.0,6.0,39.0
36.0,3.0,13.0,Buffalo Ski Club Ski Area,0.0,6.0,43.0
,6.0,23.0,Catamount,0.0,8.0,44.0
18.0,2.0,7.0,Dry Hill Ski Area,0.0,3.0,7.0
18.0,10.0,37.0,Gore Mountain,0.0,14.0,108.0
24.0,8.0,33.0,Greek Peak,0.0,9.0,55.0
9.0,2.0,4.0,Holiday Mountain,0.0,4.0,6.0
22.5,11.0,37.0,Holiday Valley,0.0,13.0,60.0
20.0,8.0,43.0,Holimont Ski Area,0.0,8.0,55.0
27.0,1.0,7.0,Hunt Hollow Ski Club,0.0,3.0,19.0
29.0,9.0,47.0,Hunter Mountain,0.0,12.0,66.0
20.0,4.0,13.0,Kissing Bridge,0.0,9.0,39.0
39.0,3.0,8.0,Labrador Mt.,0.0,4.0,23.0
36.0,2.0,7.0,Maple Ski Ridge,0.0,4.0,8.0
27.5,3.0,4.0,McCauley Mountain Ski Center,0.0,5.0,23.0
25.0,5.0,8.0,Mount Peter Ski Area,0.0,7.0,17.0
36.0,6.0,15.0,Peek'n Peak,0.0,9.0,26.0
18.0,4.0,13.0,Plattekill Mountain,0.0,4.0,38.0
39.0,3.0,10.0,Song Mountain,0.0,5.0,24.0
,2.0,14.0,Swain,0.0,5.0,35.0
15.0,5.0,13.0,Thunder Ridge,0.0,6.0,30.0
21.0,6.0,46.0,Titus Mountain,0.0,8.0,53.0
50.0,3.0,19.0,West Mountain,0.0,5.0,35.0
33.0,11.0,62.0,Whiteface Mountain Resort,0.0,13.0,94.0
15.0,5.0,6.0,Willard Mountain,0.0,5.0,16.0
45.0,7.0,24.0,Windham Mountain,0.0,11.0,54.0
27.0,4.0,17.0,Woods Valley Ski Area,0.0,6.0,21.0
,,,Brantling Ski Slopes,0.0,,10.0
24.0,3.0,15.0,Royal Mountain Ski Area,0.0,3.0,16.0
15.0,,,Oak Mountain,0.0,,
15.0,,,Snow Ridge,0.0,,
,,,Toggenburg Mountain,0.0,,22.0
55.0,6.0,7.0,Appalachian Ski Mountain,0.0,6.0,9.0
47.0,8.0,11.0,Beech Mountain Resort,0.0,10.0,17.0
43.0,5.0,13.0,Cataloochee Ski Area,0.0,5.0,18.0
41.0,2.0,6.0,Hatley Pointe,0.0,4.0,15.0
32.0,2.0,2.0,Sapphire Valley,0.0,3.0,2.0
57.5,5.0,11.0,Sugar Mountain Resort,0.0,7.0,20.0
18.0,7.0,23.0,Angel Fire Resort,1.0,7.0,86.0
24.0,6.0,22.0,Red River,1.0,7.0,64.0
4.5,1.0,3.0,Sandia Peak,0.0,4.0,35.0
11.5,4.0,11.0,Sipapu Ski Resort,1.0,6.0,44.0
4.0,2.0,10.0,Ski Apache,0.0,11.0,55.0
22.0,7.0,75.0,Ski Santa Fe,1.0,7.0,87.0
21.0,12.0,23.0,Taos Ski Valley,3.0,13.0,110.0
,,,Pajarito Mountain Ski Area,,,
12.0,3.0,8.0,Alpine Valley,0.0,5.0,8.0
10.0,5.0,4.0,Boston Mills,0.0,8.0,6.0
10.0,6.0,6.0,Brandywine,0.0,8.0,9.0
9.0,6.0,12.0,Mad River Mountain,0.0,12.0,21.0
28.0,10.0,21.0,Snow Trails,0.0,10.0,21.0
48.0,9.0,30.0,Mountain Creek Resort,0.0,9.0,46.0
,,,Campgaw Mountain,,,
28.0,7.0,30.0,Attitash,0.0,8.0,68.0
33.0,4.0,12.0,Black Mountain,0.0,5.0,68.0
21.0,6.0,42.0,Bretton Woods,0.0,10.0,98.0
66.0,8.0,37.0,Cannon Mountain,0.0,10.0,98.0
19.5,7.0,27.0,Cranmore Mountain Resort,0.0,8.0,60.0
24.0,4.0,13.0,Crotched Mountain,0.0,5.0,25.0
9.0,4.0,7.0,Dartmouth Skiway,0.0,4.0,28.0
28.5,8.0,34.0,Gunstock,0.0,8.0,49.0
16.0,4.0,10.0,King Pine,0.0,5.0,17.0
15.0,11.0,37.0,Loon Mountain,0.0,13.0,73.0
12.0,8.0,32.0,Mount Sunapee,0.0,8.0,67.0
17.0,9.0,26.0,Pats Peak,0.0,11.0,28.0
26.0,5.0,19.0,Ragged Mountain Resort,0.0,5.0,57.0
12.0,2.0,8.0,Tenney Mountain,0.0,3.0,48.0
21.0,7.0,46.0,Waterville Valley,0.0,11.0,62.0
,3.0,5.0,Whaleback Mountain,0.0,4.0,30.0
12.0,3.0,14.0,Wildcat Mountain,0.0,5.0,48.0
37.0,1.0,21.0,Anthony Lakes Mountain Resort,6.0,3.0,21.0
55.0,5.0,36.0,Hoodoo Ski Area,10.0,5.0,36.0
66.5,6.0,39.0,Mt. Ashland,0.0,6.0,44.0
96.0,10.0,57.0,Mt. Bachelor,6.0,15.0,122.0
98.0,9.0,40.0,Mt. Hood Meadows,3.0,12.0,87.0
97.0,5.0,,Timberline Lodge,5.0,9.0,43.0
44.0,5.0,30.0,Willamette Pass,0.0,6.0,30.0
32.0,,,Mt. Hood Skibowl,6.0,,
,,,Spout Springs,0.0,,14.0
30.0,7.0,31.0,Diamond Peak,0.0,7.0,40.0
8.0,3.0,3.0,Lee Canyon,0.0,5.0,28.0
40.0,7.0,47.0,Mt. Rose - Ski Tahoe,1.0,8.0,67.0
15.0,11.0,18.0,Afton Alps,0.0,21.0,37.0
18.0,4.0,12.0,Andes Tower Hills Ski Area,0.0,6.0,16.0
20.0,9.0,16.0,Buck Hill,0.0,10.0,16.0
42.0,5.0,33.0,Giants Ridge Resort,0.0,7.0,35.0
24.0,7.0,14.0,Hyland Ski & Snowboard Area,0.0,7.0,14.0
30.0,4.0,37.0,Lutsen Mountains,0.0,7.0,62.0
27.0,4.0,9.0,Mount Kato Ski Area,0.0,10.0,19.0
20.0,6.0,15.0,Powder Ridge Ski Area,0.0,7.0,20.0
15.0,5.0,22.0,Spirit Mountain,0.0,7.0,22.0
27.0,2.0,31.0,Welch Village,0.0,10.0,60.0
15.0,7.0,26.0,Wild Mountain Ski & Snowboard Area,0.0,9.0,26.0
20.0,2.0,8.0,Buena Vista Ski Area,0.0,6.0,17.0
,,,Coffee Mill Ski & Snowboard Resort,,,
,,,Elm Creek Winter Recreation Area,,,
10.0,4.0,6.0,Hidden Valley Ski Area,0.0,7.0,15.0
10.0,3.0,3.0,Snow Creek,0.0,6.0,12.0
15.0,5.0,18.0,Berkshire East,0.0,6.0,100.0
15.0,3.0,4.0,Blue Hills Ski Area,0.0,4.0,16.0
15.0,4.0,9.0,Bousquet Ski Area,0.0,4.0,22.0
16.0,5.0,6.0,Bradford Ski Area,0.0,10.0,15.0
26.5,8.0,29.0,Jiminy Peak,0.0,9.0,45.0
30.0,5.0,7.0,Nashoba Valley,0.0,10.0,17.0
22.0,9.0,14.0,Ski Butternut,0.0,10.0,22.0
36.0,3.0,7.0,Ski Ward,0.0,4.0,9.0
37.5,7.0,19.0,Wachusett Mountain Ski Area,0.0,8.0,27.0
,,,Otis Ridge Ski Area,,,
,,,Ski Blandford,0.0,,29.0
15.0,4.0,14.0,Alpine Valley Ski Area,0.0,14.0,25.0
25.0,4.0,14.0,Big Powderhorn Mountain,0.0,10.0,45.0
17.0,6.0,17.0,Bittersweet Ski Area,0.0,11.0,20.0
25.0,7.0,27.0,Boyne Mountain Resort,0.0,10.0,65.0
40.0,5.0,25.0,Caberfae Peaks,0.0,5.0,30.0
35.0,4.0,9.0,Cannonsburg,0.0,10.0,22.0
42.0,8.0,44.0,"Crystal Mountain, MI",0.0,8.0,59.0
34.0,3.0,8.0,Marquette Mountain,0.0,4.0,32.0
20.0,2.0,12.0,Mont Ripley,0.0,4.0,24.0
20.0,2.0,,Mount Bohemia,0.0,2.0,105.0
15.0,10.0,18.0,Mount Holly,0.0,13.0,20.0
14.0,8.0,19.0,Mt. Brighton,0.0,12.0,25.0
24.0,8.0,40.0,Nubs Nob Ski Area,0.0,10.0,53.0
24.0,9.0,14.0,Pine Knob Ski Resort,0.0,13.0,17.0
30.0,3.0,12.0,Pine Mountain,0.0,4.0,35.0
42.0,4.0,25.0,Schuss Mountain at Shanty Creek,0.0,7.0,42.0
42.0,9.0,16.0,Ski Brule,0.0,11.0,17.0
25.0,5.0,10.0,Snow Snake Mountain Ski Area,0.0,6.0,12.0
38.0,8.0,41.0,Snowriver Mountain Resort,0.0,13.0,71.0
36.0,5.0,10.0,Swiss Valley,0.0,7.0,12.0
38.0,8.0,44.0,The Highlands,0.0,8.0,54.0
9.0,3.0,4.0,The Homestead,0.0,5.0,15.0
21.5,4.0,8.0,Timber Ridge,0.0,10.0,20.0
26.0,4.0,18.0,Treetops Resort,0.0,4.0,27.0
,,,Mt. Holiday Ski Area,,,
,,,Mulligan's Hollow Ski Bowl,,,
,,,Norway Mountain,,,
,,0.0,Apple Mountain,0.0,,12.0
38.0,38.0,234.0,Big Sky,0.0,39.0,317.0
23.0,4.0,15.0,Blacktail Mountain Ski Area,2.0,4.0,27.0
32.0,11.0,105.0,Bridger Bowl,1.0,11.0,105.0
16.0,4.0,18.0,Discovery Ski Area,1.0,8.0,74.0
12.0,3.0,9.0,Great Divide,1.0,6.0,127.0
27.0,5.0,30.0,Lost Trail - Powder Mtn,5.0,5.0,69.0
23.5,3.0,20.0,Montana Snowbowl,0.0,5.0,37.0
8.0,4.0,8.0,Red Lodge Mountain,0.0,7.0,70.0
20.5,4.0,38.0,Showdown Montana,4.0,4.0,39.0
45.0,12.0,96.0,Whitefish Mountain Resort,5.0,14.0,111.0
8.0,6.0,12.0,Wisp,0.0,12.0,33.0
,2.0,6.0,Black Mountain of Maine,0.0,3.0,33.0
13.0,3.0,5.0,Camden Snow Bowl,0.0,3.0,20.0
,3.0,14.0,Lost Valley,0.0,4.0,31.0
9.0,3.0,9.0,Mt. Abram Ski Resort,0.0,5.0,54.0
12.0,5.0,26.0,Pleasant Mountain,5.0,6.0,43.0
28.0,6.0,37.0,Saddleback Inc.,0.0,6.0,68.0
15.0,12.0,51.0,Sugarloaf,0.0,15.0,170.0
26.0,10.0,74.0,Sunday River,0.0,19.0,139.0
4.0,2.0,15.0,Big Moose Mountain,0.0,2.0,29.0
,,,New Hermon Mountain,,,
15.0,2.0,5.0,Mt. Crescent Ski Area,0.0,2.0,11.0
15.0,4.0,11.0,Seven Oaks,0.0,4.0,11.0
11.0,4.0,21.0,Sundown Mountain,0.0,6.0,21.0
15.0,3.0,6.0,Paoli Peaks,0.0,8.0,15.0
23.5,6.0,20.0,Perfect North Slopes,0.0,12.0,23.0
30.0,5.0,18.0,Chestnut Mountain Resort,0.0,10.0,18.0
,,,Ski Snowstar Winter Sports Park,,,
,,,Villa Olivia,,,
58.0,9.0,91.0,Bogus Basin,7.0,10.0,91.0
66.5,6.0,69.0,Brundage Mountain Resort,0.0,6.0,70.0
15.0,3.0,,Kelly Canyon Ski Area,3.0,6.0,51.0
27.5,5.0,49.0,Lookout Pass Ski Area,8.0,5.0,54.0
,,,Magic Mountain Ski Area,0.0,,11.0
24.5,3.0,20.0,Pebble Creek Ski Area,11.0,3.0,54.0
35.0,3.0,32.0,Pomerelle Mountain Resort,22.0,3.0,32.0
62.0,10.0,92.0,Schweitzer,6.0,10.0,92.0
60.0,7.0,75.0,Silver Mountain,6.0,7.0,80.0
38.0,13.0,63.0,Sun Valley,4.0,17.0,120.0
58.0,7.0,52.0,Tamarack Resort,8.0,7.0,58.0
,,,Soldier Mountain Ski Area,,,
15.0,6.0,10.0,Mohawk Mountain,0.0,8.0,27.0
21.0,7.0,14.0,Mount Southington Ski Area,0.0,7.0,14.0
36.0,3.0,11.0,Powder Ridge Park,0.0,6.0,20.0
36.0,5.0,17.0,Ski Sundown,0.0,5.0,17.0
,,,Woodbury Ski Area,0.0,,12.0
38.0,7.0,63.0,Arapahoe Basin Ski Area,4.0,9.0,145.0
31.5,34.0,331.0,Aspen Snowmass,3.0,41.0,366.0
33.0,18.0,149.0,Beaver Creek,1.0,24.0,150.0
34.0,34.0,130.0,Breckenridge,0.0,35.0,189.0
26.0,4.0,43.0,Cooper,2.0,5.0,64.0
35.5,24.0,137.0,Copper Mountain,3.0,24.0,150.0
32.0,13.0,91.0,Crested Butte Mountain Resort,6.0,15.0,165.0
18.0,3.0,2.0,Echo Mountain,0.0,3.0,7.0
20.0,10.0,27.0,Eldora Mountain Resort,1.0,10.0,61.0
24.0,3.0,12.0,Howelsen Hill,0.0,4.0,17.0
37.0,21.0,82.0,Keystone,4.0,21.0,140.0
37.0,7.0,37.0,Loveland Ski Area,4.0,10.0,94.0
35.0,7.0,63.0,Monarch Mountain,4.0,7.0,67.0
35.0,5.0,23.0,Powderhorn,3.0,5.0,54.0
36.0,10.0,91.0,Purgatory,8.0,11.0,107.0
,,,Silverton Mountain,0.0,,69.0
21.0,5.0,27.0,Ski Granby Ranch,3.0,5.0,42.0
42.0,22.0,151.0,Steamboat,5.0,23.0,184.0
21.0,3.0,46.0,Sunlight Mountain Resort,0.0,3.0,75.0
33.0,16.0,72.0,Telluride,7.0,17.0,147.0
36.0,26.0,212.0,Vail,3.0,33.0,278.0
39.0,23.0,129.0,Winter Park,5.0,25.0,171.0
44.0,10.0,144.0,Wolf Creek Ski Area,1.0,11.0,144.0
13.0,8.0,23.0,Arizona Snowbowl,0.0,8.0,61.0
15.0,3.0,7.0,Sunrise Park Resort,0.0,8.0,65.0
55.0,7.0,34.0,Boreal Mountain Resort,0.0,7.0,34.0
2.5,7.0,51.0,Dodge Ridge,7.0,10.0,71.0
40.0,4.0,,Donner Ski Ranch,0.0,8.0,52.0
20.0,21.0,72.0,Heavenly,0.0,27.0,114.0
21.5,,24.0,June Mountain,2.0,,42.0
41.5,12.0,76.0,Kirkwood,0.0,13.0,76.0
56.0,23.0,156.0,Mammoth Mountain,0.0,24.0,178.0
35.0,7.0,25.0,Alyeska Resort,0.0,7.0,76.0
14.0,1.0,2.0,Eaglecrest Ski Area,0.0,4.0,37.0
,,,Hilltop Ski Area,,,
14.0,5.0,5.0,Mountain High,0.0,14.0,59.0
25.0,1.0,,Mt. Baldy,0.0,4.0,26.0
74.0,4.0,38.0,Mt. Shasta Ski Park,1.0,6.0,38.0
42.5,18.0,85.0,Northstar California,0.0,20.0,100.0
43.5,34.0,96.0,Palisades Tahoe,0.0,36.0,270.0
41.0,6.0,33.0,Sierra-at-Tahoe,0.0,14.0,47.0
40.0,8.0,30.0,Ski China Peak,0.0,11.0,54.0
