base_depth,open_lifts,open_trails,resort_name,snowfall_24h,total_lifts,total_trails
30.0,4.0,,Snow Summit,0.0,10.0,33.0
18.0,3.0,,Snow Valley,0.0,9.0,32.0
45.0,6.0,18.0,Soda Springs,0.0,6.0,19.0
58.0,11.0,90.0,Sugar Bowl Resort,0.0,12.0,105.0
18.0,4.0,8.0,Tahoe Donner,5.0,5.0,17.0
,,,Bear Valley,,,
33.0,4.0,12.0,"Black Mountain, New Hampshire",0.0,5.0,68.0
58.0,9.0,91.0,"Bogus Basin, Idaho",7.0,10.0,91.0
40.0,5.0,25.0,"Caberfae Peaks, Michigan",0.0,5.0,30.0
26.0,4.0,43.0,"Cooper, Colorado",2.0,5.0,64.0
42.0,8.0,44.0,"Crystal Mountain, MI, Michigan",0.0,8.0,59.0
25.0,4.0,,"Eagle Point, Utah",0.0,5.0,40.0
14.0,1.0,2.0,"Eaglecrest Ski Area, Alaska",0.0,4.0,37.0
26.0,9.0,16.0,"Little Switzerland, Wisconsin",0.0,9.0,16.0
,3.0,14.0,"Lost Valley, Maine",0.0,4.0,31.0
21.0,7.0,14.0,"Mount Southington Ski Area, Connecticut",0.0,7.0,14.0
46.0,6.0,49.0,"Mt. Spokane Ski and Snowboard Park, Washington",5.0,8.0,55.0
28.0,7.0,12.0,"Nordic Mountain, Wisconsin",0.0,7.0,12.0
24.0,6.0,22.0,"Red River, New Mexico",1.0,7.0,64.0
21.0,3.0,46.0,"Sunlight Mountain Resort, Colorado",0.0,3.0,75.0
,3.0,5.0,"Whaleback Mountain, New Hampshire",0.0,4.0,30.0
27.0,3.0,5.0,"Yawgoo Valley, Rhode Island",0.0,4.0,13.0
19.0,6.0,22.0,Masella,0.0,20.0,69.0
18.0,7.0,23.0,"Angel Fire Resort, New Mexico",1.0,7.0,86.0
23.0,4.0,15.0,"Blacktail Mountain Ski Area, Montana",2.0,4.0,27.0
58.0,9.0,91.0,"Bogus Basin, Idaho",7.0,10.0,91.0
32.0,5.0,85.0,"Castle Mountain, Alberta",1.0,6.0,94.0
26.0,4.0,43.0,"Cooper, Colorado",2.0,5.0,64.0
2.5,7.0,51.0,"Dodge Ridge, California",7.0,10.0,71.0
14.0,1.0,2.0,"Eaglecrest Ski Area, Alaska",0.0,4.0,37.0
27.0,5.0,30.0,"Lost Trail - Powder Mtn, Montana",5.0,5.0,69.0
37.0,7.0,37.0,"Loveland Ski Area, Colorado",4.0,10.0,94.0
24.0,7.0,51.0,"Marmot Basin, Alberta",0.0,7.0,91.0
45.0,7.0,55.0,"Mission Ridge, Washington",3.0,7.0,55.0
14.0,5.0,5.0,"Mountain High, California",0.0,14.0,59.0
74.0,4.0,38.0,"Mt. Shasta Ski Park, California",1.0,6.0,38.0
41.0,6.0,33.0,"Sierra-at-Tahoe, California",0.0,14.0,47.0
60.0,7.0,75.0,"Silver Mountain, Idaho",6.0,7.0,80.0
40.0,8.0,30.0,"Ski China Peak, California",0.0,11.0,54.0
20.5,5.0,36.0,"Snow King Mountain, Wyoming",4.0,8.0,41.0
97.0,5.0,,"Timberline Lodge, Oregon",5.0,9.0,43.0
74.5,8.0,47.0,"White Pass, Washington",6.0,8.0,47.0
32.0,,,Mt. Hood Skibowl,6.0,,
,,,Bear Valley,,,
18.0,7.0,23.0,"Angel Fire Resort, New Mexico",1.0,7.0,86.0
28.0,5.0,21.0,"Bear Creek Mountain Resort, Pennsylvania",0.0,6.0,23.0
47.0,8.0,11.0,"Beech Mountain Resort, North Carolina",0.0,10.0,17.0
33.0,4.0,12.0,"Black Mountain, New Hampshire",0.0,5.0,68.0
58.0,9.0,91.0,"Bogus Basin, Idaho",7.0,10.0,91.0
66.5,6.0,69.0,"Brundage Mountain Resort, Idaho",0.0,6.0,70.0
40.0,5.0,25.0,"Caberfae Peaks, Michigan",0.0,5.0,30.0
42.0,8.0,44.0,"Crystal Mountain, MI, Michigan",0.0,8.0,59.0
30.0,7.0,31.0,"Diamond Peak, Nevada",0.0,7.0,40.0
25.0,4.0,,"Eagle Point, Utah",0.0,5.0,40.0
14.0,1.0,2.0,"Eaglecrest Ski Area, Alaska",0.0,4.0,37.0
42.0,5.0,33.0,"Giants Ridge Resort, Minnesota",0.0,7.0,35.0
12.0,3.0,9.0,"Great Divide, Montana",1.0,6.0,127.0
24.0,8.0,33.0,"Greek Peak, New York",0.0,9.0,55.0
30.0,6.0,16.0,"Hidden Valley Resort, Pennsylvania",0.0,8.0,30.0
11.0,2.0,4.0,"Hogadon Basin, Wyoming",0.0,2.0,29.0
22.5,11.0,37.0,"Holiday Valley, New York",0.0,13.0,60.0
8.0,3.0,3.0,"Lee Canyon, Nevada",0.0,5.0,28.0
26.0,9.0,16.0,"Little Switzerland, Wisconsin",0.0,9.0,16.0
27.5,5.0,49.0,"Lookout Pass Ski Area, Idaho",8.0,5.0,54.0
,3.0,14.0,"Lost Valley, Maine",0.0,4.0,31.0
37.0,7.0,37.0,"Loveland Ski Area, Colorado",4.0,10.0,94.0
34.0,3.0,8.0,"Marquette Mountain, Michigan",0.0,4.0,32.0
35.0,7.0,63.0,"Monarch Mountain, Colorado",4.0,7.0,67.0
20.0,2.0,12.0,"Mont Ripley, Michigan",0.0,4.0,24.0
24.0,2.0,3.0,"Mount Pleasant of Edinboro, Pennsylvania",0.0,2.0,10.0
25.0,1.0,,"Mt. Baldy, California",0.0,4.0,26.0
15.0,2.0,5.0,"Mt. Crescent Ski Area, Iowa",0.0,2.0,11.0
74.0,4.0,38.0,"Mt. Shasta Ski Park, California",1.0,6.0,38.0
46.0,6.0,49.0,"Mt. Spokane Ski and Snowboard Park, Washington",5.0,8.0,55.0
28.0,7.0,12.0,"Nordic Mountain, Wisconsin",0.0,7.0,12.0
24.5,3.0,20.0,"Pebble Creek Ski Area, Idaho",11.0,3.0,54.0
18.0,4.0,13.0,"Plattekill Mountain, New York",0.0,4.0,38.0
24.0,3.0,50.0,"Powder Mountain, Utah",9.0,10.0,154.0
35.0,5.0,23.0,"Powderhorn, Colorado",3.0,5.0,54.0
24.0,6.0,22.0,"Red River, New Mexico",1.0,7.0,64.0
15.0,4.0,11.0,"Seven Oaks, Iowa",0.0,4.0,11.0
18.0,11.0,19.0,"Seven Springs, Pennsylvania",0.0,14.0,42.0
4.0,2.0,10.0,"Ski Apache, New Mexico",0.0,11.0,55.0
20.5,5.0,36.0,"Snow King Mountain, Wyoming",4.0,8.0,41.0
18.0,3.0,,"Snow Valley, California",0.0,9.0,32.0
38.0,8.0,41.0,"Snowriver Mountain Resort, Michigan",0.0,13.0,71.0
21.0,5.0,23.0,"Snowy Range Ski & Recreation Area, Wyoming",4.0,5.0,33.0
34.0,9.0,58.0,"Sundance, Utah",8.0,9.0,72.0
21.0,3.0,46.0,"Sunlight Mountain Resort, Colorado",0.0,3.0,75.0
17.5,1.0,4.0,"Tussey Mountain, Pennsylvania",0.0,3.0,8.0
,3.0,5.0,"Whaleback Mountain, New Hampshire",0.0,4.0,30.0
18.0,2.0,5.0,"Whitecap Mountain, Wisconsin",0.0,5.0,43.0
27.0,3.0,5.0,"Yawgoo Valley, Rhode Island",0.0,4.0,13.0
32.0,,,Mt. Hood Skibowl,6.0,,
19.0,6.0,22.0,"Masella, Pirineo Catalán",0.0,20.0,69.0
,,,"Ski Snowstar Winter Sports Park, Illinois",,,
51.0,4.0,47.0,"Alta Ski Area, Utah",15.0,5.0,118.0
38.0,7.0,63.0,"Arapahoe Basin Ski Area, Colorado",4.0,9.0,145.0
31.5,34.0,331.0,"Aspen Snowmass, Colorado",3.0,41.0,366.0
32.0,12.0,105.0,"Banff Sunshine, Alberta",1.0,12.0,145.0
38.0,38.0,234.0,"Big Sky, Montana",0.0,39.0,317.0
63.0,76.0,103.0,"Chamonix Mont-Blanc, Northern Alps",0.0,78.0,121.0
50.0,6.0,87.0,"Grand Targhee Resort, Wyoming",4.0,6.0,95.0
36.5,13.0,76.0,"Jackson Hole, Wyoming",7.0,13.0,131.0
33.0,12.0,114.0,"Lake Louise, Alberta",0.8,12.0,164.0
18.0,7.0,23.0,"Le Massif de Charlevoix, Quebec",0.8,8.0,53.0
24.0,7.0,51.0,"Marmot Basin, Alberta",0.0,7.0,91.0
23.0,10.0,126.0,"Panorama Mountain, British Columbia",0.4,11.0,144.0
71.0,4.0,35.0,"Revelstoke, British Columbia",2.0,5.0,42.0
47.0,9.0,51.0,"Snowbasin, Utah",2.0,13.0,114.0
41.0,9.0,51.0,"Snowbird, Utah",1.0,14.0,149.0
58.0,11.0,90.0,"Sugar Bowl Resort, California",0.0,12.0,105.0
15.0,12.0,51.0,"Sugarloaf, Maine",0.0,15.0,170.0
35.5,13.0,137.0,"Sun Peaks, British Columbia",4.0,13.0,137.0
38.0,13.0,63.0,"Sun Valley, Idaho",4.0,17.0,120.0
21.0,12.0,23.0,"Taos Ski Valley, New Mexico",3.0,13.0,110.0
13.0,8.0,23.0,"Arizona Snowbowl, Arizona",0.0,8.0,61.0
24.0,6.0,47.0,"Brian Head Resort, Utah",0.0,8.0,72.0
8.0,3.0,3.0,"Lee Canyon, Nevada",0.0,5.0,28.0
21.0,4.0,18.0,"Nordic Valley Resort, Utah",5.0,5.0,40.0
36.0,10.0,91.0,"Purgatory, Colorado",8.0,11.0,107.0
4.5,1.0,3.0,"Sandia Peak, New Mexico",0.0,4.0,35.0
11.5,4.0,11.0,"Sipapu Ski Resort, New Mexico",1.0,6.0,44.0
44.0,5.0,30.0,"Willamette Pass, Oregon",0.0,6.0,30.0
,,,Pajarito Mountain Ski Area,,,
15.0,11.0,18.0,"Afton Alps, Minnesota",0.0,21.0,37.0
14.0,40.0,74.0,"Alpe Cimbra - Folgaria - Lavarone, Trentino",0.0,40.0,77.0
12.0,3.0,8.0,"Alpine Valley, Ohio",0.0,5.0,8.0
13.0,20.0,29.0,"Andalo - Fai della Paganella, Trentino",6.0,20.0,31.0
28.0,7.0,30.0,"Attitash, New Hampshire",0.0,8.0,68.0
33.0,18.0,149.0,"Beaver Creek, Colorado",1.0,24.0,150.0
12.0,6.0,13.0,"Big Boulder, Pennsylvania",0.0,8.0,16.0
10.0,5.0,4.0,"Boston Mills, Ohio",0.0,8.0,6.0
10.0,6.0,6.0,"Brandywine, Ohio",0.0,8.0,9.0
34.0,34.0,130.0,"Breckenridge, Colorado",0.0,35.0,189.0
41.0,150.0,323.0,"Brides les Bains, Northern Alps",0.0,164.0,341.0
42.5,53.0,,"Courchevel, Northern Alps",0.0,54.0,108.0
32.0,13.0,91.0,"Crested Butte Mountain Resort, Colorado",6.0,15.0,165.0
24.0,4.0,13.0,"Crotched Mountain, New Hampshire",0.0,5.0,25.0
31.0,11.0,,"Disentis 3000, Graubunden",0.0,12.0,13.0
81.0,9.0,142.0,"Fernie Alpine, British Columbia",7.0,10.0,142.0
16.0,23.0,33.0,"Folgàrida - Marilléva, Trentino",0.0,24.0,41.0
22.0,2.0,,"Ghiacciaio Presena, Trentino",0.0,2.0,3.0
20.0,21.0,72.0,"Heavenly, California",0.0,27.0,114.0
30.0,6.0,16.0,"Hidden Valley Resort, Pennsylvania",0.0,8.0,30.0
10.0,4.0,6.0,"Hidden Valley Ski Area, Missouri",0.0,7.0,15.0
29.0,9.0,47.0,"Hunter Mountain, New York",0.0,12.0,66.0
12.0,6.0,10.0,"Jack Frost, Pennsylvania",0.0,9.0,20.0
37.0,21.0,82.0,"Keystone, Colorado",4.0,21.0,140.0
51.5,4.0,129.0,"Kicking Horse, British Columbia",0.8,5.0,129.0
14.0,5.0,72.0,"Kimberley, British Columbia",0.8,5.0,80.0
41.5,12.0,76.0,"Kirkwood, California",0.0,13.0,76.0
42.5,53.0,99.0,"La Tania, Northern Alps",0.0,54.0,108.0
29.5,8.0,,"La Tzoumaz - Savoleyres, Valais",0.0,9.0,14.0
38.0,84.0,35.0,"Lech Zürs am Arlberg, Vorarlberg",0.0,88.0,141.0
38.5,31.0,,"Les Menuires, Northern Alps",0.0,31.0,89.0
15.0,5.0,14.0,"Liberty, Pennsylvania",0.0,7.0,21.0
9.0,6.0,12.0,"Mad River Mountain, Ohio",0.0,12.0,21.0
26.5,12.0,26.0,"Madonna di Campiglio, Trentino",0.0,20.0,41.0
42.5,42.0,63.0,"Meribel, Northern Alps",0.0,42.0,72.0
,7.0,33.0,"Mont Sainte Anne, Quebec",0.0,9.0,71.0
10.0,3.0,11.0,"Monte Bondone, Trentino",0.0,4.0,15.0
24.0,18.0,46.0,"Mount Snow, Vermont",0.0,19.0,86.0
12.0,8.0,32.0,"Mount Sunapee, New Hampshire",0.0,8.0,67.0
14.0,8.0,19.0,"Mt. Brighton, Michigan",0.0,12.0,25.0
16.0,4.0,33.0,"Nakiska Ski Area, Alberta",0.0,6.0,75.0
20.5,1.0,,"Nendaz, Valais",0.0,20.0,24.0
42.5,18.0,85.0,"Northstar California, California",0.0,20.0,100.0
20.0,20.0,71.0,"Okemo Mountain Resort, Vermont",0.0,21.0,126.0
15.0,3.0,6.0,"Paoli Peaks, Indiana",0.0,8.0,15.0
36.0,25.0,53.0,"Park City, Utah",7.0,44.0,341.0
11.0,31.0,64.0,"3 Peaks Dolomites, Südtirol",0.0,31.0,79.0
82.5,5.0,14.0,"Alpental, Washington",8.0,6.0,24.0
18.0,52.0,83.0,"Alta Badia , Südtirol",0.0,53.0,114.0
51.0,4.0,47.0,"Alta Ski Area, Utah",15.0,5.0,118.0
35.0,7.0,25.0,"Alyeska Resort, Alaska",0.0,7.0,76.0
14.0,20.0,29.0,"Arabba Marmolada, Veneto",0.0,28.0,43.0
38.0,7.0,63.0,"Arapahoe Basin Ski Area, Colorado",4.0,9.0,145.0
31.5,34.0,331.0,"Aspen Snowmass, Colorado",3.0,41.0,366.0
32.0,12.0,105.0,"Banff Sunshine, Alberta",1.0,12.0,145.0
38.0,38.0,234.0,"Big Sky, Montana",0.0,39.0,317.0
28.0,11.0,42.0,"Blue Mountain, Ontario",0.0,11.0,43.0
42.0,12.0,34.0,"Blue Mountain Resort, Pennsylvania",0.0,16.0,40.0
25.0,7.0,27.0,"Boyne Mountain Resort, Michigan",0.0,10.0,65.0
46.0,8.0,33.0,"Brighton Resort, Utah",10.0,8.0,77.0
42.0,3.0,15.0,"Camelback Mountain Resort, Pennsylvania",0.0,16.0,39.0
23.5,7.0,12.0,"Pejo, Trentino",0.0,7.0,15.0
9.0,12.0,14.0,"Pinzolo, Trentino",0.0,14.0,19.0
18.0,29.0,36.0,"Pontedilegno - Tonale, Trentino",0.0,30.0,41.0
12.0,9.0,16.0,"Roundtop Mountain Resort, Pennsylvania",0.0,9.0,19.0
42.5,20.0,62.0,"Orelle, Northern Alps",0.0,29.0,85.0
19.0,21.0,21.0,"Saint Martin de Belleville, Northern Alps",0.0,31.0,83.0
21.5,7.0,9.0,"Sonnenkopf, Vorarlberg",0.0,9.0,17.0
41.0,13.0,25.0,"Carezza Ski, Südtirol",0.0,13.0,25.0
63.0,76.0,103.0,"Chamonix Mont-Blanc, Northern Alps",0.0,78.0,121.0
13.0,18.0,30.0,"Comprensorio Ski Civetta, Veneto",0.0,23.0,52.0
35.5,24.0,137.0,"Copper Mountain, Colorado",3.0,24.0,150.0
10.0,30.0,28.0,"Cortina d'Ampezzo, Veneto",0.0,36.0,73.0
66.0,11.0,60.0,"Crystal Mountain, Washington",2.0,11.0,85.0
62.0,4.0,10.0,"Cypress Mountain, British Columbia",9.0,6.0,61.0
35.0,19.0,65.0,"Deer Valley Resort, Utah",9.0,24.0,103.0
20.0,10.0,27.0,"Eldora Mountain Resort, Colorado",1.0,10.0,61.0
60.5,51.0,12.0,"Engadin St. Moritz, Graubunden",0.0,58.0,88.0
24.0,60.0,77.0,"Grandvalira, Andorra",0.0,73.0,139.0
36.5,13.0,76.0,"Jackson Hole, Wyoming",7.0,13.0,131.0
21.5,,24.0,"June Mountain, California",2.0,,42.0
15.0,15.0,138.0,"Killington Resort, Vermont",0.0,22.0,155.0
23.0,24.0,30.0,"Kitzbühel, Tyrol",0.0,54.0,90.0
33.0,12.0,114.0,"Lake Louise, Alberta",0.8,12.0,164.0
15.0,11.0,37.0,"Loon Mountain, New Hampshire",0.0,13.0,73.0
56.0,23.0,156.0,"Mammoth Mountain, California",0.0,24.0,178.0
96.0,10.0,57.0,"Mt. Bachelor, Oregon",6.0,15.0,122.0
15.0,5.0,16.0,"Mt. Norquay, Alberta",0.0,6.0,60.0
12.0,16.0,26.0,"Obereggen - Pampeago - Predazzo, Trentino",0.0,18.0,45.0
43.5,34.0,96.0,"Palisades Tahoe, California",0.0,36.0,270.0
23.0,10.0,126.0,"Panorama Mountain, British Columbia",0.4,11.0,144.0
15.0,5.0,51.0,"Pico Mountain , Vermont",0.0,7.0,61.0
7.0,31.0,46.0,"Plan de Corones / Kronplatz, Südtirol",0.0,31.0,49.0
69.0,8.0,,"Red Mountain, British Columbia",5.0,8.0,119.0
71.0,4.0,35.0,"Revelstoke, British Columbia",2.0,5.0,42.0
4.0,23.0,30.0,"San Martino di Castrozza - Passo Rolle, Trentino",0.0,23.0,38.0
62.0,10.0,92.0,"Schweitzer, Idaho",6.0,10.0,92.0
41.0,6.0,33.0,"Sierra-at-Tahoe, California",0.0,14.0,47.0
30.0,4.0,,"Snow Summit, California",0.0,10.0,33.0
18.0,3.0,,"Snow Valley, California",0.0,9.0,32.0
47.0,9.0,51.0,"Snowbasin, Utah",2.0,13.0,114.0
41.0,9.0,51.0,"Snowbird, Utah",1.0,14.0,149.0
45.0,11.0,33.0,"Snowshoe Mountain, West Virginia",0.0,12.0,61.0
49.5,6.0,90.0,"49 Degrees North, Washington",6.0,7.0,90.0
18.5,22.0,65.0,"Alpe di Siusi / Seiser Alm, Südtirol",0.0,23.0,74.0
3.5,14.0,23.0,"Gitschberg/Maranza - Jochtal/Valles, Südtirol",0.0,15.0,60.0
9.5,8.0,17.0,"Moena-Alpe Lusia-Bellamonte, Trentino",0.0,8.0,23.0
18.0,4.0,12.0,"Andes Tower Hills Ski Area, Minnesota",0.0,6.0,16.0
45.0,4.0,65.0,"Apex Mountain, British Columbia",2.0,4.0,85.0
36.0,7.0,17.0,"Axamer - Lizum, Tyrol",0.0,9.0,20.0
51.0,3.0,35.0,"Baldy Mountain, British Columbia",7.0,4.0,40.0
24.0,35.0,84.0,"Baqueira - Beret, Pirineo Catalán",0.0,36.0,116.0
28.0,5.0,21.0,"Bear Creek Mountain Resort, Pennsylvania",0.0,6.0,23.0
31.0,6.0,46.0,"Beaver Mountain, Utah",6.0,6.0,48.0
15.0,5.0,18.0,"Berkshire East, Massachusetts",0.0,6.0,100.0
25.0,4.0,14.0,"Big Powderhorn Mountain, Michigan",0.0,10.0,45.0
30.7,16.0,101.0,"Big White, British Columbia",6.0,16.0,119.0
33.0,4.0,12.0,"Black Mountain, New Hampshire",0.0,5.0,68.0
,2.0,6.0,"Black Mountain of Maine, Maine",0.0,3.0,33.0
23.0,4.0,15.0,"Blacktail Mountain Ski Area, Montana",2.0,4.0,27.0
12.0,2.0,6.0,"Blue Knob, Pennsylvania",0.0,6.0,34.0
45.5,,,"Bluewood, Washington",4.0,,26.0
25.0,5.0,46.0,"Bolton Valley, Vermont",0.0,6.0,71.0
15.0,4.0,9.0,"Bousquet Ski Area, Massachusetts",0.0,4.0,22.0
26.0,80.0,177.0,"Brixen im Thale - SkiWelt, Tyrol",0.0,81.0,228.0
66.5,6.0,69.0,"Brundage Mountain Resort, Idaho",0.0,6.0,70.0
24.0,3.0,8.0,"Bryce Resort, Virginia",0.0,4.0,8.0
20.0,9.0,16.0,"Buck Hill, Minnesota",0.0,10.0,16.0
21.5,3.0,32.0,"Burke Mountain, Vermont",0.0,4.0,55.0
40.0,5.0,25.0,"Caberfae Peaks, Michigan",0.0,5.0,30.0
10.0,2.0,5.0,"Calabogie Peaks, Ontario",0.0,3.0,25.0
13.0,3.0,5.0,"Camden Snow Bowl, Maine",0.0,3.0,20.0
14.0,3.0,10.0,"Camp Fortune, Quebec",0.0,8.0,23.0
26.0,4.0,7.0,"Canaan Valley Resort, West Virginia",0.0,6.0,47.0
66.0,8.0,37.0,"Cannon Mountain, New Hampshire",0.0,10.0,98.0
32.0,5.0,85.0,"Castle Mountain, Alberta",1.0,6.0,94.0
43.0,5.0,13.0,"Cataloochee Ski Area, North Carolina",0.0,5.0,18.0
,6.0,23.0,"Catamount, New York",0.0,8.0,44.0
30.0,5.0,18.0,"Chestnut Mountain Resort, Illinois",0.0,10.0,18.0
15.0,2.0,21.0,"Christie Mountain, Wisconsin",0.0,6.0,33.0
42.0,8.0,44.0,"Crystal Mountain, MI, Michigan",0.0,8.0,59.0
9.0,4.0,7.0,"Dartmouth Skiway, New Hampshire",0.0,4.0,28.0
2.5,7.0,51.0,"Dodge Ridge, California",7.0,10.0,71.0
25.0,4.0,,"Eagle Point, Utah",0.0,5.0,40.0
14.0,1.0,2.0,"Eaglecrest Ski Area, Alaska",0.0,4.0,37.0
18.0,3.0,2.0,"Echo Mountain, Colorado",0.0,3.0,7.0
12.5,2.0,2.0,"Elferlifte Neustift, Tyrol",0.0,4.0,3.0
42.0,80.0,183.0,"Ellmau - SkiWelt, Tyrol",0.0,81.0,228.0
19.5,6.0,6.0,"Glungezer, Tyrol",0.0,7.0,10.0
36.0,5.0,40.0,"Granite Peak Ski Area, Wisconsin",0.0,7.0,61.0
24.0,8.0,33.0,"Greek Peak, New York",0.0,9.0,55.0
41.0,2.0,6.0,"Hatley Pointe, North Carolina",0.0,4.0,15.0
18.0,15.0,13.0,"Hochoetz, Tyrol",0.0,15.0,14.0
55.0,5.0,36.0,"Hoodoo Ski Area, Oregon",10.0,5.0,36.0
26.0,79.0,171.0,"Hopfgarten im Brixental - SkiWelt, Tyrol",0.0,81.0,228.0
24.0,3.0,12.0,"Howelsen Hill, Colorado",0.0,4.0,17.0
4.0,2.0,15.0,Big Moose Mountain,0.0,2.0,29.0
15.0,,,Snow Ridge,0.0,,
,,,"Bear Valley, California",,,
,,,"Bruce Mound, Wisconsin",,,
,,,"Mt. Holiday Ski Area, Michigan",,,
,,,"Norway Mountain, Michigan",,,
,,,"Ski Snowstar Winter Sports Park, Illinois",,,
,,,"Soldier Mountain Ski Area, Idaho",,,
